Provincia o comarca indigena;Sexo;CategorIa en la actividad econImica;Empleados;Menos de 100;100  -  124;125  -  174;175  -  249;250  -  399;400  -  599;600  -  799;800  -  999;1,000  - 1,499;1,500  - 1,999;2,000  - 2,999;3,000  y mas
Bocas del Toro;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Cocle;Hombre;Agricultura, ganaderia, silvicultura y pesca;7107;11;11;16;9;12;17;16;4;2;1;0;0
Cocle;Hombre;Explotacion de minas y canteras;338;0;0;0;0;0;0;0;43;23;0;0;34
Cocle;Hombre;Industria manufacturera - Articulos no durables;3590;0;5;0;0;0;25;61;2;0;0;7;0
Cocle;Hombre;Industria manufacturera - Articulos durables;500;0;0;0;0;46;54;0;0;0;0;0;0
Cocle;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;277;0;0;0;0;0;0;38;62;0;0;0;0
Cocle;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";0;0;0;0;0;0;0;0;0;0;0;0;0
Cocle;Hombre;Construccion;4395;0;2;2;14;10;34;20;12;5;0;0;0
Cocle;Hombre;Comercio al por mayor;2541;0;0;4;0;0;8;55;18;5;10;0;0
Cocle;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";3382;5;2;2;7;9;17;47;6;2;0;0;4
Cocle;Hombre;Transporte, almacenamiento y correo;980;0;0;0;0;24;32;28;16;0;0;0;0
Cocle;Hombre;Hoteles y restaurantes;1707;0;0;0;11;0;13;61;14;0;0;0;0
Cocle;Hombre;Informacion y comunicaciones;323;0;0;0;0;0;0;64;36;0;0;0;0
Cocle;Hombre;Actividades financieras y de seguros;342;0;0;0;0;0;0;0;39;23;38;0;0
Cocle;Hombre;Actividades inmobiliarias;143;0;0;0;0;0;0;100;0;0;0;0;0
Cocle;Hombre;Actividades profesionales, cientificas y tecnicas;0;0;0;0;0;0;0;0;0;0;0;0;0
Cocle;Hombre;Actividades de servicios administrativos y de apoyo;1220;13;0;15;0;0;0;63;0;9;0;0;0
Cocle;Hombre;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";3784;0;0;0;0;3;7;24;15;43;8;0;0
Cocle;Hombre;Ensenanza;1395;0;0;0;9;6;0;35;6;18;17;0;8
Cocle;Hombre;Servicios sociales y relacionados con la salud;1603;0;0;0;0;0;0;9;15;41;21;0;15
Cocle;Hombre;Artes, entretenimiento y creatividad;682;0;0;0;0;30;18;40;0;0;11;0;0
Cocle;Hombre;Otras actividades de servicios;195;0;0;0;0;58;42;0;0;0;0;0;0
Cocle;Hombre;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;2068;10;3;8;21;18;28;13;0;0;0;0;0
Cocle;Hombre;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Cocle;Mujer;Agricultura, ganaderia, silvicultura y pesca;801;0;11;10;10;0;34;0;10;26;0;0;0
Cocle;Mujer;Explotacion de minas y canteras;237;0;0;0;0;0;0;67;33;0;0;0;0
Cocle;Mujer;Industria manufacturera - Articulos no durables;1368;0;6;0;6;6;20;47;14;0;0;0;0
Cocle;Mujer;Industria manufacturera - Articulos durables;160;0;0;0;0;0;100;0;0;0;0;0;0
Cocle;Mujer;Suministro de electricidad, gas, vapor y aire acondicionado;0;0;0;0;0;0;0;0;0;0;0;0;0
Cocle;Mujer;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";237;0;0;0;0;0;0;44;0;0;56;0;0
Cocle;Mujer;Construccion;341;0;0;0;0;0;0;43;33;23;0;0;0
Cocle;Mujer;Comercio al por mayor;484;0;0;0;0;0;18;82;0;0;0;0;0
Cocle;Mujer;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";2841;3;0;0;3;10;24;60;0;0;0;0;0
Cocle;Mujer;Transporte, almacenamiento y correo;70;0;0;0;0;0;0;0;100;0;0;0;0
Cocle;Mujer;Hoteles y restaurantes;2884;6;0;5;12;15;21;32;5;4;0;0;0
Cocle;Mujer;Informacion y comunicaciones;73;0;0;0;0;0;100;0;0;0;0;0;0
Cocle;Mujer;Actividades financieras y de seguros;646;0;0;0;0;13;0;15;34;38;0;0;0
Cocle;Mujer;Actividades inmobiliarias;226;0;0;0;0;0;0;50;0;0;50;0;0
Cocle;Mujer;Actividades profesionales, cientificas y tecnicas;115;0;0;0;0;0;0;0;100;0;0;0;0
Cocle;Mujer;Actividades de servicios administrativos y de apoyo;185;0;0;0;0;0;43;57;0;0;0;0;0
Cocle;Mujer;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";2321;0;0;0;3;0;4;29;36;14;6;8;0
Cocle;Mujer;Ensenanza;4360;0;0;2;2;0;2;14;5;12;44;18;2
Cocle;Mujer;Servicios sociales y relacionados con la salud;3083;0;0;0;0;0;0;16;36;29;13;0;5
Cocle;Mujer;Artes, entretenimiento y creatividad;281;0;0;0;0;0;0;29;71;0;0;0;0
Cocle;Mujer;Otras actividades de servicios;199;0;0;0;0;100;0;0;0;0;0;0;0
Cocle;Mujer;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;6078;8;11;15;27;27;8;4;0;0;0;0;0
Cocle;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Colon;Hombre;Agricultura, ganaderia, silvicultura y pesca;1599;13;4;32;25;5;21;0;0;0;0;0;0
Colon;Hombre;Explotacion de minas y canteras;89;0;0;0;0;0;0;100;0;0;0;0;0
Colon;Hombre;Industria manufacturera - Articulos no durables;779;12;0;0;0;0;34;23;14;16;0;0;0
Colon;Hombre;Industria manufacturera - Articulos durables;1315;0;0;0;0;6;9;25;28;18;14;0;0
Colon;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;876;0;0;0;0;0;0;22;34;15;12;0;17
Colon;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";538;0;0;0;0;0;0;59;18;0;23;0;0
Colon;Hombre;Construccion;5502;1;0;4;2;26;8;23;20;9;4;2;0
Colon;Hombre;Comercio al por mayor;8968;1;0;0;0;0;7;62;18;2;3;5;2
Colon;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";2193;4;0;0;0;5;19;55;16;0;2;0;0
Colon;Hombre;Transporte, almacenamiento y correo;12998;0;0;2;0;2;9;18;27;25;9;6;2
Colon;Hombre;Hoteles y restaurantes;2043;0;0;9;4;0;24;31;32;0;0;0;0
Colon;Hombre;Informacion y comunicaciones;309;0;0;0;0;0;0;36;30;34;0;0;0
Colon;Hombre;Actividades financieras y de seguros;238;0;0;0;0;0;0;55;0;0;0;45;0
Colon;Hombre;Actividades inmobiliarias;430;0;0;0;0;0;0;25;17;58;0;0;0
Colon;Hombre;Actividades profesionales, cientificas y tecnicas;65;0;0;0;0;0;0;100;0;0;0;0;0
Colon;Hombre;Actividades de servicios administrativos y de apoyo;1994;0;0;4;0;4;17;31;45;0;0;0;0
Colon;Hombre;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";3769;0;0;0;0;0;5;34;24;19;13;5;0
Colon;Hombre;Ensenanza;1483;0;0;0;0;0;0;23;20;43;14;0;0
Colon;Hombre;Servicios sociales y relacionados con la salud;832;0;0;0;0;0;0;37;13;39;11;0;0
Colon;Hombre;Artes, entretenimiento y creatividad;82;0;0;0;0;0;0;0;100;0;0;0;0
Colon;Hombre;Otras actividades de servicios;570;19;0;0;13;13;37;18;0;0;0;0;0
Colon;Hombre;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;184;0;0;0;0;0;40;0;0;60;0;0;0
Colon;Hombre;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Colon;Mujer;Agricultura, ganaderia, silvicultura y pesca;117;0;0;100;0;0;0;0;0;0;0;0;0
Colon;Mujer;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Colon;Mujer;Industria manufacturera - Articulos no durables;71;0;0;0;0;0;0;100;0;0;0;0;0
Colon;Mujer;Industria manufacturera - Articulos durables;129;0;0;0;0;0;0;0;0;0;100;0;0
Colon;Mujer;Suministro de electricidad, gas, vapor y aire acondicionado;0;0;0;0;0;0;0;0;0;0;0;0;0
Colon;Mujer;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";196;0;0;0;0;0;0;100;0;0;0;0;0
Colon;Mujer;Construccion;211;0;0;0;0;0;0;0;0;48;0;0;52
Colon;Mujer;Comercio al por mayor;6592;0;0;0;0;3;8;42;29;15;4;0;0
Colon;Mujer;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";2415;0;4;6;3;0;15;59;8;0;5;0;0
Colon;Mujer;Transporte, almacenamiento y correo;3298;0;0;0;0;0;9;24;28;28;3;7;0
Colon;Mujer;Hoteles y restaurantes;1610;0;0;7;4;22;28;16;19;4;0;0;0
Colon;Mujer;Informacion y comunicaciones;213;0;0;0;0;0;52;48;0;0;0;0;0
Colon;Mujer;Actividades financieras y de seguros;568;0;0;0;0;0;0;0;37;52;11;0;0
Colon;Mujer;Actividades inmobiliarias;515;0;0;0;0;0;21;0;58;21;0;0;0
Colon;Mujer;Actividades profesionales, cientificas y tecnicas;74;0;0;0;0;0;0;0;0;100;0;0;0
Colon;Mujer;Actividades de servicios administrativos y de apoyo;1047;0;0;0;0;0;0;80;20;0;0;0;0
Colon;Mujer;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";3116;0;0;0;0;2;8;19;30;28;10;3;0
Colon;Mujer;Ensenanza;4488;0;0;0;1;5;0;27;7;17;32;11;0
Colon;Mujer;Servicios sociales y relacionados con la salud;2307;0;0;0;0;0;0;23;22;40;10;0;5
Colon;Mujer;Artes, entretenimiento y creatividad;111;0;0;0;0;0;0;100;0;0;0;0;0
Colon;Mujer;Otras actividades de servicios;926;18;0;0;0;49;34;0;0;0;0;0;0
Colon;Mujer;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;2168;19;2;13;17;17;26;0;0;5;0;0;0
Colon;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Chiriqui;Hombre;Agricultura, ganaderia, silvicultura y pesca;13347;8;6;7;12;28;17;20;1;2;0;0;0
Chiriqui;Hombre;Explotacion de minas y canteras;204;0;0;0;0;100;0;0;0;0;0;0;0
Chiriqui;Hombre;Industria manufacturera - Articulos no durables;3307;0;0;0;3;14;31;46;3;0;0;3;0
Chiriqui;Hombre;Industria manufacturera - Articulos durables;1229;13;0;14;0;21;30;21;0;0;0;0;0
Chiriqui;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;371;0;0;0;0;0;30;47;0;23;0;0;0
Chiriqui;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";345;0;0;28;0;0;27;0;46;0;0;0;0
Chiriqui;Hombre;Construccion;7995;3;0;0;17;8;19;20;13;9;6;2;3
Chiriqui;Hombre;Comercio al por mayor;2912;9;3;0;6;3;27;29;9;14;0;0;0
Chiriqui;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";8676;1;5;2;0;4;14;56;7;4;2;4;1
Chiriqui;Hombre;Transporte, almacenamiento y correo;2395;0;0;8;7;9;11;10;33;15;0;0;8
Chiriqui;Hombre;Hoteles y restaurantes;1211;0;0;0;0;8;30;34;14;0;14;0;0
Chiriqui;Hombre;Informacion y comunicaciones;989;0;0;0;0;10;17;73;0;0;0;0;0
Chiriqui;Hombre;Actividades financieras y de seguros;1161;0;0;0;0;0;14;15;22;30;0;0;19
Chiriqui;Hombre;Actividades inmobiliarias;156;0;0;0;0;0;0;0;100;0;0;0;0
Chiriqui;Hombre;Actividades profesionales, cientificas y tecnicas;618;0;0;0;0;25;0;26;28;20;0;0;0
Chiriqui;Hombre;Actividades de servicios administrativos y de apoyo;1602;11;0;0;0;14;17;48;10;0;0;0;0
Chiriqui;Hombre;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";8227;0;0;0;0;2;1;13;20;34;25;4;0
Chiriqui;Hombre;Ensenanza;4659;0;0;0;0;0;7;20;0;25;35;9;3
Chiriqui;Hombre;Servicios sociales y relacionados con la salud;2364;0;0;0;0;0;7;36;13;30;7;0;8
Chiriqui;Hombre;Artes, entretenimiento y creatividad;266;0;0;0;0;0;0;100;0;0;0;0;0
Chiriqui;Hombre;Otras actividades de servicios;734;0;0;0;39;12;40;0;10;0;0;0;0
Chiriqui;Hombre;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;1377;0;18;11;7;30;7;27;0;0;0;0;0
Chiriqui;Hombre;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Chiriqui;Mujer;Agricultura, ganaderia, silvicultura y pesca;1558;0;6;0;5;8;31;27;8;6;9;0;0
Chiriqui;Mujer;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Chiriqui;Mujer;Industria manufacturera - Articulos no durables;498;0;0;0;25;0;56;19;0;0;0;0;0
Chiriqui;Mujer;Industria manufacturera - Articulos durables;276;34;0;0;0;0;0;0;0;66;0;0;0
Chiriqui;Mujer;Suministro de electricidad, gas, vapor y aire acondicionado;532;0;0;0;0;0;0;0;30;42;0;0;28
Chiriqui;Mujer;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";158;0;0;0;0;0;0;100;0;0;0;0;0
Chiriqui;Mujer;Construccion;91;0;0;0;0;0;0;0;0;0;0;0;100
Chiriqui;Mujer;Comercio al por mayor;1479;0;0;0;0;0;0;41;47;11;0;0;0
Chiriqui;Mujer;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";7288;0;1;0;7;7;11;57;12;4;0;0;0
Chiriqui;Mujer;Transporte, almacenamiento y correo;593;0;0;0;16;0;0;84;0;0;0;0;0
Chiriqui;Mujer;Hoteles y restaurantes;3193;0;0;9;5;19;38;24;5;0;0;0;0
Chiriqui;Mujer;Informacion y comunicaciones;246;0;0;0;0;39;61;0;0;0;0;0;0
Chiriqui;Mujer;Actividades financieras y de seguros;812;0;0;0;0;0;23;32;18;27;0;0;0
Chiriqui;Mujer;Actividades inmobiliarias;326;0;0;0;0;0;0;51;0;0;49;0;0
Chiriqui;Mujer;Actividades profesionales, cientificas y tecnicas;868;0;0;0;0;12;36;23;0;14;16;0;0
Chiriqui;Mujer;Actividades de servicios administrativos y de apoyo;549;0;28;0;0;0;42;0;0;30;0;0;0
Chiriqui;Mujer;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";3757;0;0;0;0;4;0;23;15;19;24;0;14
Chiriqui;Mujer;Ensenanza;9355;0;0;0;2;2;3;11;8;16;30;27;2
Chiriqui;Mujer;Servicios sociales y relacionados con la salud;5657;0;0;0;0;3;6;16;16;28;15;10;7
Chiriqui;Mujer;Artes, entretenimiento y creatividad;621;0;0;0;0;27;25;16;32;0;0;0;0
Chiriqui;Mujer;Otras actividades de servicios;1039;22;0;14;16;9;0;39;0;0;0;0;0
Chiriqui;Mujer;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;8332;26;17;11;11;23;10;3;0;0;0;0;0
Chiriqui;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Hombre;Agricultura, ganaderia, silvicultura y pesca;2908;8;12;5;31;18;17;1;6;1;2;0;0
Darien;Hombre;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Hombre;Industria manufacturera - Articulos no durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Hombre;Industria manufacturera - Articulos durables;52;0;100;0;0;0;0;0;0;0;0;0;0
Darien;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;123;0;0;30;0;0;24;46;0;0;0;0;0
Darien;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";61;0;0;0;0;0;0;0;56;44;0;0;0
Darien;Hombre;Construccion;623;5;6;0;0;14;27;18;12;6;13;0;0
Darien;Hombre;Comercio al por mayor;87;0;0;0;0;0;100;0;0;0;0;0;0
Darien;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";576;12;8;5;15;5;22;33;0;0;0;0;0
Darien;Hombre;Transporte, almacenamiento y correo;146;25;6;0;0;0;0;69;0;0;0;0;0
Darien;Hombre;Hoteles y restaurantes;109;57;43;0;0;0;0;0;0;0;0;0;0
Darien;Hombre;Informacion y comunicaciones;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Hombre;Actividades financieras y de seguros;0;0;0;0;0;0;0;0;0;0;0;0;0
Darien;Hombre;Actividades inmobiliarias;0;0;0;0;0;0;0;0;0;0;0;0;0
