Provincia o comarca indigena;Sexo;CategorIa en la actividad econImica;Empleados;Menos de 100;100  -  124;125  -  174;175  -  249;250  -  399;400  -  599;600  -  799;800  -  999;1,000  - 1,499;1,500  - 1,999;2,000  - 2,999;3,000  y mas
Herrera;Hombre;Informacion y comunicaciones;125;0;0;0;0;0;0;100;0;0;0;0;0
Herrera;Hombre;Actividades financieras y de seguros;216;0;0;0;0;0;0;31;0;0;28;15;26
Herrera;Hombre;Actividades inmobiliarias;63;0;0;0;0;0;0;0;0;0;100;0;0
Herrera;Hombre;Actividades profesionales, cientificas y tecnicas;246;23;50;0;0;0;0;0;27;0;0;0;0
Herrera;Hombre;Actividades de servicios administrativos y de apoyo;506;13;0;0;12;0;7;44;24;0;0;0;0
Herrera;Hombre;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";2568;0;0;0;0;0;0;37;20;32;9;2;0
Herrera;Hombre;Ensenanza;750;0;0;0;0;0;0;44;5;7;27;17;0
Herrera;Hombre;Servicios sociales y relacionados con la salud;919;0;0;0;0;0;0;28;17;14;8;13;20
Herrera;Hombre;Artes, entretenimiento y creatividad;694;9;8;5;0;9;5;41;22;0;0;0;0
Herrera;Hombre;Otras actividades de servicios;220;0;0;0;15;85;0;0;0;0;0;0;0
Herrera;Hombre;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;182;33;0;0;32;0;35;0;0;0;0;0;0
Herrera;Hombre;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Herrera;Mujer;Agricultura, ganaderia, silvicultura y pesca;252;14;0;15;31;14;0;0;27;0;0;0;0
Herrera;Mujer;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Herrera;Mujer;Industria manufacturera - Articulos no durables;547;0;0;0;12;0;7;37;11;12;11;0;11
Herrera;Mujer;Industria manufacturera - Articulos durables;57;0;0;0;100;0;0;0;0;0;0;0;0
Herrera;Mujer;Suministro de electricidad, gas, vapor y aire acondicionado;0;0;0;0;0;0;0;0;0;0;0;0;0
Herrera;Mujer;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";113;0;0;0;0;50;0;0;0;50;0;0;0
Herrera;Mujer;Construccion;61;0;0;0;0;0;0;0;100;0;0;0;0
Herrera;Mujer;Comercio al por mayor;425;0;14;0;0;0;0;57;29;0;0;0;0
Herrera;Mujer;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";1649;10;4;0;2;10;20;50;3;0;0;0;0
Herrera;Mujer;Transporte, almacenamiento y correo;164;0;20;0;0;0;0;41;38;0;0;0;0
Herrera;Mujer;Hoteles y restaurantes;788;8;8;0;16;5;41;22;0;0;0;0;0
Herrera;Mujer;Informacion y comunicaciones;125;0;0;0;0;0;0;50;0;0;0;0;50
Herrera;Mujer;Actividades financieras y de seguros;618;0;0;0;0;0;0;31;6;23;10;31;0
Herrera;Mujer;Actividades inmobiliarias;68;0;0;0;0;100;0;0;0;0;0;0;0
Herrera;Mujer;Actividades profesionales, cientificas y tecnicas;151;0;0;0;0;0;0;49;0;0;0;51;0
Herrera;Mujer;Actividades de servicios administrativos y de apoyo;313;19;0;0;0;23;12;46;0;0;0;0;0
Herrera;Mujer;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";1640;0;0;0;0;0;0;30;37;19;8;0;5
Herrera;Mujer;Ensenanza;2154;0;0;0;0;0;2;48;11;9;16;15;0
Herrera;Mujer;Servicios sociales y relacionados con la salud;2063;0;0;0;0;0;0;12;10;33;8;25;12
Herrera;Mujer;Artes, entretenimiento y creatividad;97;0;0;0;0;0;0;100;0;0;0;0;0
Herrera;Mujer;Otras actividades de servicios;0;0;0;0;0;0;0;0;0;0;0;0;0
Herrera;Mujer;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;1932;16;9;17;12;31;11;0;3;0;0;0;0
Herrera;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Los Santos;Hombre;Agricultura, ganaderia, silvicultura y pesca;3294;7;12;6;18;23;22;13;0;0;0;0;0
Los Santos;Hombre;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Los Santos;Hombre;Industria manufacturera - Articulos no durables;789;8;0;0;0;8;32;34;8;10;0;0;0
Los Santos;Hombre;Industria manufacturera - Articulos durables;311;8;0;8;0;38;37;0;9;0;0;0;0
Los Santos;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;156;0;0;0;0;0;0;100;0;0;0;0;0
Los Santos;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";231;0;0;0;0;0;11;12;44;33;0;0;0
Los Santos;Hombre;Construccion;1269;12;8;2;5;13;16;21;15;5;2;0;0
Los Santos;Hombre;Comercio al por mayor;273;0;0;0;0;0;33;0;33;10;0;24;0
Los Santos;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";1052;0;0;0;9;13;40;23;0;3;6;6;0
Los Santos;Hombre;Transporte, almacenamiento y correo;262;0;0;21;11;0;37;31;0;0;0;0;0
Los Santos;Hombre;Hoteles y restaurantes;597;4;5;0;17;8;12;51;4;0;0;0;0
Los Santos;Hombre;Informacion y comunicaciones;86;0;0;0;0;0;0;30;0;0;0;0;70
Los Santos;Hombre;Actividades financieras y de seguros;109;0;0;0;0;0;0;24;53;23;0;0;0
Los Santos;Hombre;Actividades inmobiliarias;0;0;0;0;0;0;0;0;0;0;0;0;0
Los Santos;Hombre;Actividades profesionales, cientificas y tecnicas;184;0;0;0;0;0;0;49;37;0;0;14;0
Los Santos;Hombre;Actividades de servicios administrativos y de apoyo;182;0;0;0;33;0;0;33;34;0;0;0;0
Los Santos;Hombre;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";1441;0;0;0;0;0;2;49;12;21;5;6;4
Los Santos;Hombre;Ensenanza;896;0;0;0;0;0;0;22;17;7;26;13;15
Los Santos;Hombre;Servicios sociales y relacionados con la salud;343;0;0;0;0;0;0;7;14;14;15;22;28
Los Santos;Hombre;Artes, entretenimiento y creatividad;193;0;0;0;0;0;0;12;13;35;40;0;0
Los Santos;Hombre;Otras actividades de servicios;241;0;26;0;0;10;35;28;0;0;0;0;0
Los Santos;Hombre;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;239;26;10;0;27;0;37;0;0;0;0;0;0
Los Santos;Hombre;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Los Santos;Mujer;Agricultura, ganaderia, silvicultura y pesca;179;13;0;0;0;0;31;56;0;0;0;0;0
Los Santos;Mujer;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Los Santos;Mujer;Industria manufacturera - Articulos no durables;465;0;0;0;0;6;52;10;18;0;14;0;0
Los Santos;Mujer;Industria manufacturera - Articulos durables;49;0;53;0;0;0;0;0;47;0;0;0;0
Los Santos;Mujer;Suministro de electricidad, gas, vapor y aire acondicionado;0;0;0;0;0;0;0;0;0;0;0;0;0
Los Santos;Mujer;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";145;0;0;0;0;0;0;0;0;100;0;0;0
Los Santos;Mujer;Construccion;84;0;0;0;0;0;0;30;0;70;0;0;0
Los Santos;Mujer;Comercio al por mayor;25;0;0;0;0;0;100;0;0;0;0;0;0
Los Santos;Mujer;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";1102;3;2;0;0;8;19;57;6;0;0;6;0
Los Santos;Mujer;Transporte, almacenamiento y correo;49;0;0;0;0;0;0;100;0;0;0;0;0
Los Santos;Mujer;Hoteles y restaurantes;1053;13;0;2;14;9;27;29;0;6;0;0;0
Los Santos;Mujer;Informacion y comunicaciones;75;0;0;0;0;0;68;32;0;0;0;0;0
Los Santos;Mujer;Actividades financieras y de seguros;439;0;0;0;0;0;0;6;58;15;0;6;15
Los Santos;Mujer;Actividades inmobiliarias;0;0;0;0;0;0;0;0;0;0;0;0;0
Los Santos;Mujer;Actividades profesionales, cientificas y tecnicas;122;0;0;0;24;0;0;76;0;0;0;0;0
Los Santos;Mujer;Actividades de servicios administrativos y de apoyo;48;0;0;0;0;50;0;0;0;0;0;50;0
Los Santos;Mujer;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";1873;0;0;0;0;1;0;32;19;21;11;9;5
Los Santos;Mujer;Ensenanza;1658;0;0;0;0;0;2;25;9;7;32;24;2
Los Santos;Mujer;Servicios sociales y relacionados con la salud;1272;0;0;0;0;0;2;16;17;21;20;17;7
Los Santos;Mujer;Artes, entretenimiento y creatividad;67;0;0;0;0;0;0;0;0;100;0;0;0
Los Santos;Mujer;Otras actividades de servicios;27;0;0;0;100;0;0;0;0;0;0;0;0
Los Santos;Mujer;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;1837;4;11;17;23;30;14;0;1;0;0;0;0
Los Santos;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Panama;Hombre;Agricultura, ganaderia, silvicultura y pesca;6694;2;1;3;12;15;21;28;5;10;0;0;3
Panama;Hombre;Explotacion de minas y canteras;558;0;0;0;0;95;0;0;0;5;0;0;0
Panama;Hombre;Industria manufacturera - Articulos no durables;16715;3;1;0;2;1;13;56;13;5;4;3;0
Panama;Hombre;Industria manufacturera - Articulos durables;9168;1;2;0;2;4;8;33;18;20;3;2;7
Panama;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;2966;9;0;0;0;0;8;20;47;10;0;0;5
Panama;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";6188;0;0;2;2;1;8;52;22;9;0;3;0
Panama;Hombre;Construccion;33008;5;2;2;2;5;7;24;24;17;2;5;5
Panama;Hombre;Comercio al por mayor;18756;0;1;0;0;2;6;57;10;13;4;1;6
Panama;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";36401;0;1;1;2;4;10;57;15;4;4;1;1
Panama;Hombre;Transporte, almacenamiento y correo;30799;1;0;0;2;3;7;27;18;17;6;6;14
Panama;Hombre;Hoteles y restaurantes;20874;0;0;1;2;5;13;55;19;1;1;1;2
Panama;Hombre;Informacion y comunicaciones;6677;0;9;0;0;3;7;31;12;15;6;9;8
Panama;Hombre;Actividades financieras y de seguros;11640;0;0;0;0;2;0;7;29;38;6;12;6
Panama;Hombre;Actividades inmobiliarias;6920;0;2;0;0;0;0;81;2;8;2;0;5
Panama;Hombre;Actividades profesionales, cientificas y tecnicas;8543;0;0;0;2;3;0;24;21;34;5;8;3
Panama;Hombre;Actividades de servicios administrativos y de apoyo;18336;1;0;1;0;2;9;52;21;12;1;1;0
Panama;Hombre;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";27856;0;0;0;0;1;1;16;25;26;19;7;5
Panama;Hombre;Ensenanza;11469;4;1;0;0;1;7;19;15;24;8;18;4
Panama;Hombre;Servicios sociales y relacionados con la salud;9534;0;0;0;0;3;3;30;23;7;4;14;16
Panama;Hombre;Artes, entretenimiento y creatividad;4030;0;0;3;0;5;3;47;18;20;3;0;0
Panama;Hombre;Otras actividades de servicios;6408;3;0;0;4;4;5;32;17;6;0;0;28
Panama;Hombre;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;2145;6;0;0;0;7;27;49;10;0;0;0;0
Panama;Hombre;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Panama;Mujer;Agricultura, ganaderia, silvicultura y pesca;368;0;0;7;0;8;77;0;0;0;0;8;0
Panama;Mujer;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Panama;Mujer;Industria manufacturera - Articulos no durables;7240;0;0;0;0;3;20;36;15;10;0;7;9
Panama;Mujer;Industria manufacturera - Articulos durables;2720;0;0;0;0;0;11;36;19;29;5;0;0
Panama;Mujer;Suministro de electricidad, gas, vapor y aire acondicionado;1804;0;0;0;0;0;2;83;0;0;8;7;0
Panama;Mujer;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";2788;0;0;0;0;0;5;38;52;0;0;5;0
Panama;Mujer;Construccion;5055;0;0;0;0;8;10;3;12;23;19;18;7
Panama;Mujer;Comercio al por mayor;9806;0;0;0;0;0;12;31;19;14;14;7;4
Panama;Mujer;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";30231;0;0;0;0;7;6;50;19;8;3;6;0
Panama;Mujer;Transporte, almacenamiento y correo;9915;0;0;1;3;0;0;35;19;23;10;3;6
Panama;Mujer;Hoteles y restaurantes;21998;2;2;0;2;7;12;68;4;2;1;0;1
Panama;Mujer;Informacion y comunicaciones;3048;0;0;0;0;0;0;33;17;26;4;20;0
Panama;Mujer;Actividades financieras y de seguros;18605;0;0;0;1;0;0;19;18;24;13;8;16
Panama;Mujer;Actividades inmobiliarias;4429;4;0;0;0;0;8;51;14;11;10;0;4
Panama;Mujer;Actividades profesionales, cientificas y tecnicas;9206;0;0;0;1;0;4;20;13;38;17;2;3
Panama;Mujer;Actividades de servicios administrativos y de apoyo;7860;1;2;0;0;2;9;38;28;18;0;0;2
Panama;Mujer;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";26127;0;0;1;0;1;3;14;24;25;18;11;4
Panama;Mujer;Ensenanza;28788;0;1;0;0;1;8;16;17;25;16;12;3
Panama;Mujer;Servicios sociales y relacionados con la salud;22040;0;0;0;2;1;4;20;22;17;15;6;14
Panama;Mujer;Artes, entretenimiento y creatividad;6069;7;0;4;0;2;0;63;12;7;0;2;3
Panama;Mujer;Otras actividades de servicios;7294;3;0;2;2;13;11;19;21;15;8;5;2
Panama;Mujer;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;45390;4;3;5;7;27;26;21;3;4;0;0;0
Panama;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;518;0;0;0;0;0;0;29;0;0;0;0;71
Panama Oeste;Hombre;Agricultura, ganaderia, silvicultura y pesca;5796;3;26;5;13;8;30;5;9;0;0;0;0
Panama Oeste;Hombre;Explotacion de minas y canteras;1302;0;0;0;0;0;20;22;12;33;13;0;0
Panama Oeste;Hombre;Industria manufacturera - Articulos no durables;5668;0;0;0;0;0;9;71;8;8;4;0;0
Panama Oeste;Hombre;Industria manufacturera - Articulos durables;4202;0;4;0;0;0;17;24;15;22;12;6;0
Panama Oeste;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;448;0;0;0;0;0;0;100;0;0;0;0;0
Panama Oeste;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";2678;0;0;0;0;0;0;17;55;28;0;0;0
Panama Oeste;Hombre;Construccion;17805;5;1;4;1;9;11;24;21;18;5;1;0
Panama Oeste;Hombre;Comercio al por mayor;5229;0;0;0;0;0;7;74;9;10;0;0;0
Panama Oeste;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";15506;4;2;3;2;6;7;55;15;5;0;0;0
Panama Oeste;Hombre;Transporte, almacenamiento y correo;6936;0;0;0;2;4;0;9;27;24;13;10;11
Panama Oeste;Hombre;Hoteles y restaurantes;9503;0;0;0;2;5;9;62;16;3;3;0;0
Panama Oeste;Hombre;Informacion y comunicaciones;1763;0;0;0;0;0;0;0;28;44;12;15;0
Panama Oeste;Hombre;Actividades financieras y de seguros;2914;0;0;0;0;0;0;30;19;26;10;5;10
Panama Oeste;Hombre;Actividades inmobiliarias;1701;0;0;0;0;0;8;68;10;14;0;0;0
Panama Oeste;Hombre;Actividades profesionales, cientificas y tecnicas;1675;0;0;0;0;15;0;7;16;40;21;0;0
Panama Oeste;Hombre;Actividades de servicios administrativos y de apoyo;6157;4;0;3;0;0;14;44;23;0;8;3;0
Panama Oeste;Hombre;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";11739;0;0;0;0;0;8;15;21;25;8;18;4
Panama Oeste;Hombre;Ensenanza;6501;0;0;0;0;0;2;10;12;51;11;7;8
Panama Oeste;Hombre;Servicios sociales y relacionados con la salud;4464;0;0;0;0;0;0;33;0;17;28;10;11
Panama Oeste;Hombre;Artes, entretenimiento y creatividad;448;0;0;0;0;0;0;62;38;0;0;0;0
Panama Oeste;Hombre;Otras actividades de servicios;2648;0;0;0;0;31;9;31;11;19;0;0;0
Panama Oeste;Hombre;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;3225;11;5;5;15;13;31;10;10;0;0;0;0
Panama Oeste;Hombre;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Panama Oeste;Mujer;Agricultura, ganaderia, silvicultura y pesca;358;0;0;0;0;0;100;0;0;0;0;0;0
Panama Oeste;Mujer;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Panama Oeste;Mujer;Industria manufacturera - Articulos no durables;1897;0;0;0;12;0;0;57;20;0;11;0;0
Panama Oeste;Mujer;Industria manufacturera - Articulos durables;1291;0;0;0;0;0;25;35;19;22;0;0;0
Panama Oeste;Mujer;Suministro de electricidad, gas, vapor y aire acondicionado;449;0;0;0;0;0;0;0;67;33;0;0;0
Panama Oeste;Mujer;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";273;0;0;0;0;0;0;0;100;0;0;0;0
Panama Oeste;Mujer;Construccion;1582;0;0;0;0;0;15;50;18;17;0;0;0
Panama Oeste;Mujer;Comercio al por mayor;3249;0;0;0;0;0;8;53;20;19;0;0;0
Panama Oeste;Mujer;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";11551;0;2;0;2;5;6;58;15;4;4;3;0
Panama Oeste;Mujer;Transporte, almacenamiento y correo;3888;0;0;0;0;2;0;19;24;12;20;15;7
Panama Oeste;Mujer;Hoteles y restaurantes;6965;2;0;5;6;10;16;45;12;4;0;0;0
Panama Oeste;Mujer;Informacion y comunicaciones;1353;0;0;0;0;0;11;0;39;22;29;0;0
Panama Oeste;Mujer;Actividades financieras y de seguros;6224;0;0;0;0;0;0;27;25;13;10;11;14
Panama Oeste;Mujer;Actividades inmobiliarias;994;0;0;0;0;0;0;55;17;28;0;0;0
Panama Oeste;Mujer;Actividades profesionales, cientificas y tecnicas;1830;0;0;0;0;17;0;23;10;24;26;0;0
Panama Oeste;Mujer;Actividades de servicios administrativos y de apoyo;2143;0;0;0;0;0;13;54;21;13;0;0;0
Panama Oeste;Mujer;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";12011;0;0;0;0;0;0;21;19;31;6;15;9
Panama Oeste;Mujer;Ensenanza;16955;0;1;0;1;4;5;22;10;25;14;17;0
Panama Oeste;Mujer;Servicios sociales y relacionados con la salud;9377;0;0;0;0;0;3;20;25;25;19;0;8
Panama Oeste;Mujer;Artes, entretenimiento y creatividad;1829;0;0;0;0;9;8;50;19;14;0;0;0
Panama Oeste;Mujer;Otras actividades de servicios;2366;7;0;0;10;18;28;11;7;0;19;0;0
Panama Oeste;Mujer;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;17177;12;7;13;10;25;28;5;0;0;0;0;0
Panama Oeste;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;172;0;0;0;0;0;0;100;0;0;0;0;0
Veraguas;Hombre;Agricultura, ganaderia, silvicultura y pesca;8057;8;25;18;13;30;5;2;0;0;0;0;0
Veraguas;Hombre;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Veraguas;Hombre;Industria manufacturera - Articulos no durables;904;0;0;0;0;10;10;74;6;0;0;0;0
Veraguas;Hombre;Industria manufacturera - Articulos durables;823;0;19;0;0;28;0;29;17;0;7;0;0
Veraguas;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;342;0;0;0;0;0;37;39;24;0;0;0;0
Veraguas;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";223;0;0;0;0;0;0;100;0;0;0;0;0
Veraguas;Hombre;Construccion;2599;16;5;3;19;10;8;27;9;3;0;0;0
Veraguas;Hombre;Comercio al por mayor;1270;0;0;0;0;5;21;54;13;7;0;0;0
Veraguas;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";3362;2;7;0;3;17;13;55;3;0;0;0;0
Veraguas;Hombre;Transporte, almacenamiento y correo;453;0;0;20;0;17;14;32;16;0;0;0;0
Veraguas;Hombre;Hoteles y restaurantes;913;0;0;7;8;0;40;29;17;0;0;0;0
Veraguas;Hombre;Informacion y comunicaciones;180;0;0;0;0;0;0;0;0;100;0;0;0
Veraguas;Hombre;Actividades financieras y de seguros;543;0;0;0;0;0;14;54;16;16;0;0;0
Veraguas;Hombre;Actividades inmobiliarias;91;0;0;0;0;0;0;100;0;0;0;0;0
Veraguas;Hombre;Actividades profesionales, cientificas y tecnicas;129;0;0;50;0;0;0;50;0;0;0;0;0
Veraguas;Hombre;Actividades de servicios administrativos y de apoyo;503;0;0;0;0;0;15;66;0;19;0;0;0
Veraguas;Hombre;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";4395;0;0;0;0;0;0;26;13;32;19;5;4
Veraguas;Hombre;Ensenanza;3523;3;0;0;0;0;2;17;5;7;17;47;2
Veraguas;Hombre;Servicios sociales y relacionados con la salud;1867;0;0;0;0;0;0;0;4;22;39;19;16
Veraguas;Hombre;Artes, entretenimiento y creatividad;556;0;0;0;0;0;25;60;0;15;0;0;0
Veraguas;Hombre;Otras actividades de servicios;270;0;0;0;0;52;24;23;0;0;0;0;0
Veraguas;Hombre;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;327;24;0;0;28;47;0;0;0;0;0;0;0
Veraguas;Hombre;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Veraguas;Mujer;Agricultura, ganaderia, silvicultura y pesca;253;27;49;0;24;0;0;0;0;0;0;0;0
Veraguas;Mujer;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Veraguas;Mujer;Industria manufacturera - Articulos no durables;596;0;0;16;19;0;0;53;0;0;12;0;0
Veraguas;Mujer;Industria manufacturera - Articulos durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Veraguas;Mujer;Suministro de electricidad, gas, vapor y aire acondicionado;65;0;0;0;0;0;100;0;0;0;0;0;0
Veraguas;Mujer;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";77;0;0;0;0;0;0;0;100;0;0;0;0
Veraguas;Mujer;Construccion;96;0;0;0;0;0;0;100;0;0;0;0;0
Veraguas;Mujer;Comercio al por mayor;293;0;0;0;23;0;22;56;0;0;0;0;0
Veraguas;Mujer;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";2407;3;0;0;0;4;12;66;7;0;4;0;4
Veraguas;Mujer;Transporte, almacenamiento y correo;97;0;0;0;0;0;0;100;0;0;0;0;0
Veraguas;Mujer;Hoteles y restaurantes;1858;8;0;3;15;39;23;8;5;0;0;0;0
Veraguas;Mujer;Informacion y comunicaciones;227;0;0;0;0;0;30;0;36;35;0;0;0
Veraguas;Mujer;Actividades financieras y de seguros;661;0;0;0;0;0;0;22;34;26;0;17;0
Veraguas;Mujer;Actividades inmobiliarias;0;0;0;0;0;0;0;0;0;0;0;0;0
Veraguas;Mujer;Actividades profesionales, cientificas y tecnicas;261;0;0;0;0;34;33;0;0;33;0;0;0
Veraguas;Mujer;Actividades de servicios administrativos y de apoyo;307;0;0;0;0;0;24;26;23;0;26;0;0
Veraguas;Mujer;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";2286;0;0;0;0;0;4;19;21;24;20;8;3
Veraguas;Mujer;Ensenanza;5078;0;0;0;5;2;3;14;8;3;33;32;0
Veraguas;Mujer;Servicios sociales y relacionados con la salud;2590;4;0;0;0;0;0;14;21;9;18;16;18
Veraguas;Mujer;Artes, entretenimiento y creatividad;130;0;0;0;0;0;0;39;61;0;0;0;0
Veraguas;Mujer;Otras actividades de servicios;364;18;0;0;0;17;0;42;23;0;0;0;0
Veraguas;Mujer;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;3654;11;18;12;33;24;2;0;0;0;0;0;0
Veraguas;Mujer;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Agricultura, ganaderia, silvicultura y pesca;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Explotacion de minas y canteras;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Industria manufacturera - Articulos no durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Industria manufacturera - Articulos durables;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Suministro de electricidad, gas, vapor y aire acondicionado;15;0;0;0;0;0;0;100;0;0;0;0;0
Comarca Kuna Yala;Hombre;"Suministro de agua; evacuacion de aguas residuales, gestion de desechos y descontaminacion";0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Construccion;101;0;0;15;0;22;0;63;0;0;0;0;0
Comarca Kuna Yala;Hombre;Comercio al por mayor;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;"Comercio al por al por menor; reparacion de vehiculos automotores y motocicletas";93;0;15;15;70;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Transporte, almacenamiento y correo;136;35;0;0;46;0;20;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Hoteles y restaurantes;158;9;0;9;22;59;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Informacion y comunicaciones;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Actividades financieras y de seguros;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Actividades inmobiliarias;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Actividades profesionales, cientificas y tecnicas;20;100;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Actividades de servicios administrativos y de apoyo;248;0;11;36;11;31;0;11;0;0;0;0;0
Comarca Kuna Yala;Hombre;"Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria";0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Ensenanza;167;0;0;0;0;0;0;0;0;0;75;25;0
Comarca Kuna Yala;Hombre;Servicios sociales y relacionados con la salud;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Artes, entretenimiento y creatividad;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Otras actividades de servicios;541;40;13;15;12;9;4;6;0;0;0;0;0
Comarca Kuna Yala;Hombre;Actividades de los hogares en calidad de empleadores, actividades indiferenciadas de produccion de bienes y servicios de los hogares para uso propio ;0;0;0;0;0;0;0;0;0;0;0;0;0
Comarca Kuna Yala;Hombre;Actividades de organizaciones y organos extra territoriales y actividades no declaradas;0;0;0;0;0;0;0;0;0;0;0;0;0
